4.202000000000000000e+03,0.000000000000000000e+00
9.800000000000000000e+01,9.755657233384924798e-02
3.300000000000000000e+01,1.951131446676984960e-01
5.000000000000000000e+00,2.926697170015477578e-01
8.000000000000000000e+00,3.902262893353969919e-01
1.000000000000000000e+00,4.877828616692462260e-01
4.000000000000000000e+00,5.853394340030955156e-01
2.000000000000000000e+00,6.828960063369446942e-01
1.000000000000000000e+00,7.804525786707939838e-01
2.000000000000000000e+00,8.780091510046432735e-01
